day,dose,rep,scan,label,n_slices,name,cohort
Day10,ctrl,6,23161,0,72,CRI_D10_contr_6_23161_01,A_early
Day4,100,1,23378,1,72,CRI_4_100_1_23378_01,B_late
Day4,100,2,23379,1,72,CRI_4_100_2_23379_01,B_late
Day4,100,3,23380,1,72,CRI_4_100_3_23380_01,B_late
Day4,100,4,23381,1,72,CRI_4_100_4_23381_01,B_late
Day4,100,5,23382,1,72,CRI_4_100_5_23382_01,B_late
Day4,100,6,23383,1,72,CRI_4_100_6_23383_01,B_late
Day4,50,1,23372,1,72,CRI_4_50_1_23372_01,B_late
Day4,50,2,23373,1,72,CRI_4_50_2_23373_01,B_late
Day4,50,3,23374,1,72,CRI_4_50_3_23374_01,B_late
Day4,50,4,23375,1,72,CRI_4_50_4_23375_01,B_late
Day4,50,5,23376,1,72,CRI_4_50_5_23376_01,B_late
Day4,50,6,23377,1,72,CRI_4_50_6_23377_01,B_late
Day4,ctrl,1,23366,0,72,CRI_4_cntrl_1_23366_01,B_late
Day4,ctrl,2,23367,0,72,CRI_4_cntrl_2_23367_01,B_late
Day4,ctrl,3,23368,0,72,CRI_4_cntrl_3_23368_01,B_late
Day4,ctrl,4,23369,0,72,CRI_4_cntrl_4_23369_01,B_late
Day4,ctrl,5,23370,0,72,CRI_4_cntrl_5_23370_01,B_late
Day4,ctrl,6,23371,0,72,CRI_4_cntrl_6_23371_01,B_late
Day4,100,1,23216,1,72,CRI_D4_100_1_23216_01,A_early
Day4,100,2,23217,1,72,CRI_D4_100_2_23217_01,A_early
Day4,100,3,23218,1,72,CRI_D4_100_3_23218_01,A_early
Day4,100,4,23219,1,72,CRI_D4_100_4_23219_01,A_early
Day4,100,5,23220,1,72,CRI_D4_100_5_23220_01,A_early
Day4,100,6,23221,1,72,CRI_D4_100_6_23221_01,A_early
Day4,50,1,23222,1,72,CRI_D4_50_1_23222_01,A_early
Day4,50,2,23223,1,72,CRI_D4_50_2_23223.01,A_early
Day4,50,3,23224,1,72,CRI_D4_50_3_23224_01,A_early
Day4,50,4,23225,1,72,CRI_D4_50_4_23225_01,A_early
Day4,50,5,23226,1,72,CRI_D4_50_5_23226_01,A_early
Day4,50,6,23227,1,72,CRI_D4_50_6_23227_01,A_early
Day4,500,1,23210,1,72,CRI_D4_500_1_23210_01,A_early
Day4,500,1,23384,1,72,CRI_D4_500_1_23384_01,B_late
Day4,500,2,23211,1,72,CRI_D4_500_2_23211_01,A_early
Day4,500,2,23385,1,72,CRI_D4_500_2_23385_01,B_late
Day4,500,3,23212,1,72,CRI_D4_500_3_23212_01,A_early
Day4,500,3,23386,1,72,CRI_D4_500_3_23386_01,B_late
Day4,500,4,23213,1,72,CRI_D4_500_4_23213_01,A_early
Day4,500,4,23387,1,72,CRI_D4_500_4_23387_01,B_late
Day4,500,5,23214,1,72,CRI_D4_500_5_23214_01,A_early
Day4,500,5,23388,1,72,CRI_D4_500_5_23388_01,B_late
Day4,500,6,23215,1,72,CRI_D4_500_6_23215_01,A_early
Day4,500,6,23389,1,72,CRI_D4_500_6_23389_01,B_late
Day4,ctrl,1,23228,0,72,CRI_D4_Ctrl_1_23228_01,A_early
Day4,ctrl,2,23229,0,72,CRI_D4_Ctrl_2_23229_01,A_early
Day4,ctrl,3,23230,0,72,CRI_D4_Ctrl_3_23230_01,A_early
Day4,ctrl,4,23231,0,72,CRI_D4_Ctrl_4_23231_01,A_early
Day4,ctrl,5,23232,0,72,CRI_D4_Ctrl_5_23232_01,A_early
Day4,ctrl,6,23233,0,72,CRI_D4_Ctrl_6_23233_01,A_early
Day5,100,1,23192,1,72,CRI_D5_100_1_23192_01,A_early
Day5,100,1,23354,1,72,CRI_D5_100_1_23354_01,B_late
Day5,100,2,23193,1,72,CRI_D5_100_2_23193_01,A_early
Day5,100,2,23355,1,72,CRI_D5_100_2_23355_01,B_late
Day5,100,3,23194,1,72,CRI_D5_100_3_23194_01,A_early
Day5,100,3,23356,1,72,CRI_D5_100_3_23356_01,B_late
Day5,100,4,23195,1,72,CRI_D5_100_4_23195_01,A_early
Day5,100,4,23357,1,72,CRI_D5_100_4_23357_01,B_late
Day5,100,5,23196,1,72,CRI_D5_100_5_23196_01,A_early
Day5,100,5,23358,1,72,CRI_D5_100_5_23358_01,B_late
Day5,100,6,23197,1,72,CRI_D5_100_6_23197_01,A_early
Day5,100,6,23359,1,72,CRI_D5_100_6_23359_01,B_late
Day5,50,1,23198,1,72,CRI_D5_50_1_23198_01,A_early
Day5,50,1,23348,1,72,CRI_D5_50_1_23348_01,B_late
Day5,50,2,23199,1,72,CRI_D5_50_2_23199_01,A_early
Day5,50,2,23349,1,72,CRI_D5_50_2_23349_01,B_late
Day5,50,3,23200,1,72,CRI_D5_50_3_23200_01,A_early
Day5,50,3,23350,1,72,CRI_D5_50_3_23350_01,B_late
Day5,50,4,23201,1,72,CRI_D5_50_4_23201_01,A_early
Day5,50,4,23351,1,72,CRI_D5_50_4_23351_01,B_late
Day5,50,5,23202,1,72,CRI_D5_50_5_23202_01,A_early
Day5,50,5,23352,1,72,CRI_D5_50_5_23352_01,B_late
Day5,50,6,23203,1,72,CRI_D5_50_6_23203_01,A_early
Day5,50,6,23353,1,72,CRI_D5_50_6_23353_01,B_late
Day5,500,1,23186,1,72,CRI_D5_500_1_23186_01,A_early
Day5,500,1,23360,1,72,CRI_D5_500_1_23360_01,B_late
Day5,500,2,23187,1,72,CRI_D5_500_2_23187_01,A_early
Day5,500,2,23361,1,72,CRI_D5_500_2_23361_01,B_late
Day5,500,3,23188,1,72,CRI_D5_500_3_23188_01,A_early
Day5,500,3,23362,1,72,CRI_D5_500_3_23362_01,B_late
Day5,500,4,23189,1,72,CRI_D5_500_4_23189_01,A_early
Day5,500,4,23363,1,72,CRI_D5_500_4_23363_01,B_late
Day5,500,5,23190,1,72,CRI_D5_500_5_23190_01,A_early
Day5,500,5,23364,1,72,CRI_D5_500_5_23364_01,B_late
Day5,500,6,23191,1,72,CRI_D5_500_6_23191_01,A_early
Day5,500,6,23365,1,72,CRI_D5_500_6_23365_01,B_late
Day5,ctrl,1,23342,0,72,CRI_D5_cntrl_1_23342_01,B_late
Day5,ctrl,2,23343,0,72,CRI_D5_cntrl_2_23343_01,B_late
Day5,ctrl,3,23344,0,72,CRI_D5_cntrl_3_23344_01,B_late
Day5,ctrl,4,23345,0,72,CRI_D5_cntrl_4_23345_01,B_late
Day5,ctrl,5,23346,0,72,CRI_D5_cntrl_5_23346_01,B_late
Day5,ctrl,6,23347,0,72,CRI_D5_cntrl_6_23347_01,B_late
Day5,ctrl,1,23204,0,72,CRI_D5_Ctrl_1_23204_01,A_early
Day5,ctrl,2,23205,0,72,CRI_D5_Ctrl_2_23205_01,A_early
Day5,ctrl,3,23206,0,72,CRI_D5_Ctrl_3_23206_01,A_early
Day5,ctrl,4,23207,0,72,CRI_D5_Ctrl_4_23207_01,A_early
Day5,ctrl,5,23208,0,72,CRI_D5_Ctrl_5_23208_01,A_early
Day5,ctrl,6,23209,0,72,CRI_D5_Ctrl_6_23209_01,A_early
Day7,100,1,23168,1,72,CRI_D7_100_1_23168_01,A_early
Day7,100,1,23330,1,72,CRI_D7_100_1_23330_01,B_late
Day7,100,2,23169,1,72,CRI_D7_100_2_23169_01,A_early
Day7,100,2,23331,1,72,CRI_D7_100_2_23331_01,B_late
Day7,100,3,23170,1,72,CRI_D7_100_3_23170_01,A_early
Day7,100,3,23332,1,72,CRI_D7_100_3_23332_01,B_late
Day7,100,4,23171,1,72,CRI_D7_100_4_23171_01,A_early
Day7,100,4,23333,1,72,CRI_D7_100_4_23333_01,B_late
Day7,100,5,23172,1,72,CRI_D7_100_5_23172_01,A_early
Day7,100,5,23334,1,72,CRI_D7_100_5_23334_01,B_late
Day7,100,6,23335,1,72,CRI_D7_100_6_23335_01,B_late
Day7,50,1,23174,1,72,CRI_D7_50_1_23174_01,A_early
Day7,50,1,23324,1,72,CRI_D7_50_1_23324_01,B_late
Day7,50,2,23175,1,72,CRI_D7_50_2_23175_01,A_early
Day7,50,2,23325,1,72,CRI_D7_50_2_23325_01,B_late
Day7,50,3,23176,1,72,CRI_D7_50_3_23176_01,A_early
Day7,50,3,23326,1,72,CRI_D7_50_3_23326_01,B_late
Day7,50,4,23177,1,72,CRI_D7_50_4_23177_01,A_early
Day7,50,4,23327,1,72,CRI_D7_50_4_23327_01,B_late
Day7,50,5,23178,1,72,CRI_D7_50_5_23178_01,A_early
Day7,50,5,23328,1,72,CRI_D7_50_5_23328_01,B_late
Day7,50,6,23179,1,72,CRI_D7_50_6_23179_01,A_early
Day7,50,6,23329,1,72,CRI_D7_50_6_23329_01,B_late
Day7,500,1,23162,1,72,CRI_D7_500_1_23162_01,A_early
Day7,500,1,23336,1,72,CRI_D7_500_1_23336_01,B_late
Day7,500,2,23163,1,72,CRI_D7_500_2_23163_01,A_early
Day7,500,2,23337,1,72,CRI_D7_500_2_23337_01,B_late
Day7,500,3,23164,1,72,CRI_D7_500_3_23164_01,A_early
Day7,500,3,23338,1,72,CRI_D7_500_3_23338_01,B_late
Day7,500,4,23165,1,72,CRI_D7_500_4_23165_01,A_early
Day7,500,4,23339,1,72,CRI_D7_500_4_23339_01,B_late
Day7,500,5,23166,1,72,CRI_D7_500_5_23166_01,A_early
Day7,500,5,23340,1,72,CRI_D7_500_5_23340_01,B_late
Day7,500,6,23167,1,72,CRI_D7_500_6_23167_01,A_early
Day7,500,6,23341,1,72,CRI_D7_500_6_23341_01,B_late
Day7,ctrl,1,23318,0,72,CRI_D7_cntrl_1_23318_01,B_late
Day7,ctrl,2,23319,0,72,CRI_D7_cntrl_2_23319_01,B_late
Day7,ctrl,3,23320,0,72,CRI_D7_cntrl_3_23320_01,B_late
Day7,ctrl,4,23321,0,72,CRI_D7_cntrl_4_23321_01,B_late
Day7,ctrl,5,23322,0,72,CRI_D7_cntrl_5_23322_01,B_late
Day7,ctrl,6,23323,0,72,CRI_D7_cntrl_6_23323_01,B_late
Day7,ctrl,1,23180,0,72,CRI_D7_Ctrl_1_23180_01,A_early
Day7,ctrl,2,23181,0,72,CRI_D7_Ctrl_2_23181_01,A_early
Day7,ctrl,3,23182,0,72,CRI_D7_Ctrl_3_23182_01,A_early
Day7,ctrl,4,23183,0,72,CRI_D7_Ctrl_4_23183_01,A_early
Day7,ctrl,5,23184,0,72,CRI_D7_Ctrl_5_23184_01,A_early
Day7,ctrl,6,23185,0,72,CRI_D7_Ctrl_6_23185_01,A_early
